,id,r,cx,cz,c,contrast,cnr,snr,gcnr
209,1082,0.008,0.014,0.055,1590.0,-46.86357498168945,-1.694769263267517,1.7048516273498535,0.9948882764284364
210,1083,0.003,-0.016,0.0475,1430.0,-40.55940628051758,-1.5240685939788818,1.5384942293167114,1.0
211,1084,0.008,0.002,0.06,1460.0,-36.383023262023926,-2.62233567237854,2.6632986068725586,0.9976826007513792
212,1085,0.004,-0.014,0.0625,1490.0,-47.335166931152344,-1.3316618204116821,1.3374097347259521,1.0
213,1094,0.008,0.014,0.0575,1600.0,-49.68961238861084,-1.623394250869751,1.6287323236465454,0.9998180494936029
214,1102,0.003,-0.014,0.05,1550.0,-46.62226676940918,-1.5319039821624756,1.539084553718567,1.0
215,1103,0.006,0.01,0.0675,1530.0,-44.118499755859375,-1.5115734338760376,1.521040678024292,0.9992795389252844
216,1107,0.002,0.002,0.065,1560.0,-47.28325366973877,-1.3860069513320923,1.3920254707336426,0.917647071804574
217,1111,0.002,-0.008,0.0425,1590.0,-46.730685234069824,-1.4545780420303345,1.4613112211227417,1.0
218,1118,0.002,0.004,0.07,1450.0,-46.394286155700684,-0.9770309329032898,0.981732964515686,0.7988505738865844
219,1141,0.006,0.014,0.0575,1490.0,-42.37698554992676,-1.3974134922027588,1.4081236124038696,0.9595959587489831
220,1142,0.006,-0.002,0.0425,1430.0,-47.91884422302246,-1.5525952577590942,1.5588594675064087,1.0
221,1143,0.003,-0.008,0.04,1450.0,-50.18765449523926,-1.7775118350982666,1.7830299139022827,1.0
222,1146,0.006,0.01,0.065,1540.0,-42.58959770202637,-1.5294227600097656,1.5408589839935303,0.9995195772407973
223,1150,0.006,-0.002,0.04,1580.0,-44.55059051513672,-1.5698716640472412,1.5792239904403687,0.9995204986530173
224,1155,0.004,0.014,0.0625,1520.0,-52.81397342681885,-1.8220940828323364,1.8262711763381958,1.0
225,1159,0.006,0.0,0.07,1530.0,-50.48363208770752,-1.6300932168960571,1.6349834203720093,0.9995247147825946
226,1160,0.004,0.014,0.05,1580.0,-45.17860412597656,-1.0738892555236816,1.0798380374908447,0.7919366331829927
227,1162,0.006,-0.012,0.06,1430.0,-44.33220386505127,-1.4799178838729858,1.4889601469039917,0.9997316156563243
228,1167,0.008,-0.012,0.065,1430.0,-49.00691032409668,-1.61505925655365,1.6208056211471558,0.99983731901078
229,1169,0.003,0.002,0.055,1570.0,-49.57650184631348,-1.9478504657745361,1.9543399810791016,1.0
230,1171,0.003,0.004,0.0425,1430.0,-42.88627624511719,-1.6488703489303589,1.660782814025879,0.99848714036818
231,1179,0.004,-0.016,0.055,1520.0,-44.83935832977295,-1.4373024702072144,1.4455835819244385,0.9905482046907815
232,1180,0.003,-0.016,0.045,1590.0,-52.476372718811035,-1.777640461921692,1.7818777561187744,1.0
233,1182,0.008,-0.006,0.0525,1530.0,-47.509379386901855,-1.9669971466064453,1.9753209352493286,0.9998781082160626
234,1185,0.002,0.004,0.0675,1480.0,-50.39348125457764,-1.7584824562072754,1.7638132572174072,1.0
235,1196,0.008,0.014,0.0675,1470.0,-53.121652603149414,-1.9553675651550293,1.9596940279006958,1.0
236,1197,0.002,0.016,0.065,1570.0,-42.08465576171875,-0.769676685333252,0.7757792472839355,0.6294116935323404
237,1200,0.006,-0.014,0.045,1470.0,-45.14641284942627,-1.5378637313842773,1.5464146137237549,0.9787373235053458
238,1203,0.003,0.002,0.0525,1520.0,-52.1217679977417,-1.8218733072280884,1.826397180557251,1.0
239,1205,0.008,0.012,0.0575,1450.0,-49.08339500427246,-1.579854130744934,1.585425853729248,0.9998374776578193
240,1206,0.002,-0.014,0.055,1510.0,-0.2533569931983948,-0.04830734059214592,2.3822860717773438,0.6488095720374156
241,1216,0.002,-0.014,0.0675,1600.0,-46.48386478424072,-1.328965187072754,1.3352949619293213,1.0
242,1229,0.008,0.008,0.0625,1420.0,-48.14140319824219,-1.687953233718872,1.6945910453796387,0.9998774960297638
243,1241,0.003,-0.004,0.0475,1430.0,-44.0961217880249,-1.282595157623291,1.2906490564346313,0.9060605874141399
